#Diameter(nm)	Abs	Normalised Abs		volume	Normalised			Nb	normalised
1017.551	0.000224	0.0043526417		0.227931424	0.0301226835			2.16339413242505E-010	9.03986762256661E-005
1014.311	0.000223	0.0043332103		0.226191353	0.0298927213			2.16751739920378E-010	0.000090571
1011.116	0.000222	0.0043137788		0.224467752	0.0296649357			2.17145587602863E-010	9.07355408491351E-005
1007.935	0.000222	0.0043137788		0.22376157	0.029571609			2.18518354869361E-010	9.13091595984761E-005
1004.789	0.000221	0.0042943474		0.222058369	0.0293465194			2.18898371072579E-010	0.000091468
1001.673	0.000221	0.0042943474		0.221369733	0.0292555115			2.20262385559141E-010	9.20379129185026E-005
998.587	0.00022	0.004274916		0.21968914	0.0290334097			2.20623040222546E-010	9.21886145574588E-005
995.534	0.00022	0.004274916		0.21901748	0.0289446453			2.21978282628966E-010	9.27549104425639E-005
992.5	0.000221	0.0042943474		0.2193425	0.0289875989			2.24352670215533E-010	9.3747062041088E-005
989.495	0.000222	0.0043137788		0.21966789	0.0290306014			2.26738759577236E-010	9.47441032940948E-005
986.515	0.000222	0.0043137788		0.21900633	0.0289431718			2.28110663766813E-010	9.53173614017482E-005
983.572	0.000223	0.0043332103		0.219336556	0.0289868134			2.30511474766206E-010	9.63205541762881E-005
980.64	0.000223	0.0043332103		0.21868272	0.0289004045			2.31891940615112E-010	9.6897389822856E-005
977.752	0.000223	0.0043332103		0.218038696	0.0288152924			2.33263848791221E-010	9.74706495963049E-005
974.883	0.000223	0.0043332103		0.217398909	0.0287307402			2.34638821443936E-010	9.80451898790436E-005
972.035	0.000224	0.0043526417		0.21773584	0.0287752679			2.37074155768965E-010	9.90628084250585E-005
969.206	0.000225	0.0043720731		0.21807135	0.0288196078			2.39524713873163E-010	0.0001000868
966.407	0.000225	0.0043720731		0.217441575	0.0287363788			2.40914191712769E-010	0.0001006674
963.643	0.000224	0.0043526417		0.215856032	0.0285268385			2.41221312607789E-010	0.0001007957
960.886	0.000224	0.0043526417		0.215238464	0.0284452227			2.42607535831923E-010	0.000101375
958.161	0.000223	0.0043332103		0.213669903	0.0282379267			2.42900206174772E-010	0.0001014973
955.457	0.000223	0.0043332103		0.213066911	0.0281582373			2.44276995610685E-010	0.0001020726
952.783	0.000223	0.0043332103		0.212470609	0.0280794319			2.45650053882058E-010	0.0001026463
950.119	0.000223	0.0043332103		0.211876537	0.0280009213			2.47029521470372E-010	0.0001032227
947.486	0.000223	0.0043332103		0.211289378	0.0279233242			2.48404386067683E-010	0.0001037972
944.874	0.000223	0.0043332103		0.210706902	0.0278463461			2.49779657413975E-010	0.0001043719
942.282	0.000223	0.0043332103		0.210128886	0.0277699573			2.51155719645054E-010	0.0001049469
939.711	0.000223	0.0043332103		0.209555553	0.0276941875			2.52531897395627E-010	0.0001055219
937.163	0.000224	0.0043526417		0.209924512	0.0277429479			2.55045550013607E-010	0.0001065723
934.635	0.000226	0.0043915046		0.21122751	0.0279151479			2.58716637677397E-010	0.0001081062
932.122	0.000227	0.004410936		0.211591694	0.0279632773			2.61264462509037E-010	0.0001091709
929.631	0.000229	0.0044497989		0.212885499	0.0281342624			2.64980727011373E-010	0.0001107237
927.166	0.000231	0.0044886618		0.214175346	0.0283047245			2.68718140346081E-010	0.0001122854
924.719	0.000233	0.0045275246		0.215459527	0.0284744377			2.72481084325853E-010	0.0001138578
922.281	0.000234	0.0045469561		0.215813754	0.0285212512			2.75099204047983E-010	0.0001149518
919.875	0.000236	0.0045858189		0.2170905	0.0286899818			2.78903761232529E-010	0.0001165416
