#Diameter(nm)	Absorption	normalised		volume	Normalised			Nb	normalised
1020.872	0.000048	0.0005193737		0.049001856	0.0036058918			4.60573188536997E-011	1.07402441805028E-005
1018.503	0.000047	0.0005085534		0.047869641	0.0035225756			4.53078269235268E-011	1.05654679116769E-005
1016.144	0.000047	0.0005085534		0.047758768	0.0035144168			4.55184372841939E-011	1.06145807727119E-005
1013.804	0.000047	0.0005085534		0.047648788	0.0035063238			4.57288054949842E-011	1.06636371660917E-005
1011.484	0.000047	0.0005085534		0.047539748	0.0034982999			4.59388186971169E-011	1.07126107739389E-005
1009.177	0.000047	0.0005085534		0.047431319	0.0034903209			4.61490929938433E-011	1.07616452672167E-005
1006.889	0.000047	0.0005085534		0.047323783	0.0034824077			4.63590646834189E-011	1.08106091946263E-005
1004.611	0.000047	0.0005085534		0.047216717	0.003474529			4.65695455211478E-011	1.08596918518193E-005
1002.349	0.000046	0.0004977332		0.046108054	0.003392946			4.57846510786391E-011	1.06766599650688E-005
1000.101	0.000046	0.0004977332		0.046004646	0.0033853365			4.59907094075485E-011	1.07247113241794E-005
997.874	0.000046	0.0004977332		0.045902204	0.0033777982			4.61962175157019E-011	1.07726343756634E-005
995.656	0.000046	0.0004977332		0.045800176	0.0033702902			4.64022672716818E-011	1.0820683735627E-005
993.458	0.000045	0.0004869129		0.04470561	0.0032897446			4.55946085104561E-011	1.06323433691884E-005
991.268	0.000044	0.0004760926		0.043615792	0.0032095483			4.47785991854246E-011	1.04420557097559E-005
989.101	0.000044	0.0004760926		0.043520444	0.003202532			4.4975023050374E-011	1.04878603793489E-005
986.945	0.000043	0.0004652723		0.042438635	0.0031229251			4.41451049053097E-011	1.02943292804994E-005
984.796	0.000043	0.0004652723		0.042346228	0.0031161251			4.43379800584983E-011	1.03393064153642E-005
982.669	0.000042	0.000454452		0.041272098	0.0030370833			4.34945436976178E-011	1.01426229632652E-005
980.554	0.000041	0.0004436317		0.040202714	0.0029583907			4.26423200495493E-011	9.94389037733833E-006
978.454	0.000041	0.0004436317		0.040116614	0.0029520549			4.28255580329839E-011	9.98662019171338E-006
976.37	0.00004	0.0004328114		0.0390548	0.0028739193			4.19595805146283E-011	9.78468029956488E-006
974.293	0.000039	0.0004219911		0.037997427	0.0027961106			4.10852035023386E-011	9.58078170425931E-006
972.225	0.000039	0.0004219911		0.037916775	0.0027901757			4.12601723905148E-011	9.62158322353518E-006
970.179	0.000039	0.0004219911		0.037836981	0.0027843039			4.14343821541653E-011	9.66220772028839E-006
968.14	0.000039	0.0004219911		0.03775746	0.0027784522			4.16090958770695E-011	9.70294973680995E-006
966.115	0.000038	0.0004111709		0.03671237	0.0027015473			4.07123289100024E-011	9.49382996086503E-006
964.109	0.000038	0.0004111709		0.036636142	0.0026959379			4.08819236241934E-011	9.53337826040715E-006
962.113	0.000037	0.0004003506		0.035598181	0.0026195577			3.99714182852909E-011	9.321054792371E-006
960.127	0.000036	0.0003895303		0.034564572	0.0025434976			3.90521667640884E-011	9.106691775879E-006
958.151	0.000036	0.0003895303		0.034493436	0.002538263			3.92134078473228E-011	9.1442920671892E-006
956.185	0.000035	0.00037871		0.033466475	0.0024626922			3.82810808480161E-011	8.92687994078131E-006
954.239	0.000035	0.00037871		0.033398365	0.0024576802			3.84373749062899E-011	8.96332662051867E-006
952.303	0.000036	0.0003895303		0.034282908	0.0025227709			3.96964980507873E-011	9.2569453191707E-006
950.375	0.000036	0.0003895303		0.0342135	0.0025176634			3.98577238412971E-011	9.29454204432464E-006
948.463	0.000036	0.0003895303		0.034144668	0.0025125982			4.00185836356007E-011	9.33205342172665E-006
946.557	0.000036	0.0003895303		0.034076052	0.002507549			4.0179909820964E-011	9.36967355825727E-006
944.673	0.000035	0.00037871		0.033063555	0.0024330425			3.92197696598775E-011	9.14577559732012E-006
942.786	0.000035	0.00037871		0.03299751	0.0024281825			3.93769246645165E-011	9.18242304371995E-006
940.921	0.000036	0.0003895303		0.033873156	0.0024926185			4.06626967655476E-011	9.48225609239169E-006
939.065	0.000037	0.0004003506		0.034745405	0.0025568046			4.19575784869855E-011	9.78421344074038E-006
937.209	0.000039	0.0004219911		0.036551151	0.0026896837			4.4400893129844E-011	0.000010354
935.376	0.00004	0.0004328114		0.03741504	0.0027532546			4.57180339986869E-011	1.06611253285965E-005
933.55	0.000042	0.000454452		0.0392091	0.0028852738			4.81919083026399E-011	0.000011238
